epoch,time,train/loss_total,train/acc,train/loss_cls,train/loss_cont,val/loss_total,val/acc,metrics/precision,metrics/recall,metrics/f1,lr/pg0
1,41.6,0.5447,0.8936,,,0.2998,0.9443,0.9147,0.9526,0.9310,0.000100
2,87.3,0.2964,0.9668,,,0.2621,0.9669,0.9528,0.9625,0.9575,0.000099
3,132.4,0.2712,0.9762,,,0.3333,0.9243,0.8880,0.9412,0.9084,0.000098
4,177.3,0.2564,0.9826,,,0.2633,0.9661,0.9498,0.9641,0.9566,0.000096
5,222.3,0.2492,0.9845,,,0.2682,0.9643,0.9442,0.9672,0.9549,0.000093
6,266.9,0.2387,0.9886,,,0.2478,0.9774,0.9661,0.9760,0.9709,0.000091
7,310.4,0.2339,0.9905,,,0.2660,0.9669,0.9478,0.9701,0.9581,0.000087
8,355.1,0.2278,0.9921,,,0.2725,0.9608,0.9387,0.9649,0.9506,0.000084
9,398.3,0.2279,0.9920,,,0.2662,0.9652,0.9450,0.9689,0.9560,0.000080
10,442.4,0.2272,0.9931,,,0.2704,0.9617,0.9395,0.9665,0.9518,0.000075
